"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
part_id,informations_du_participant,,text,"ID RedCap du PARTICIPANT ",,,,,,,,,,,,,
part_idprisma,informations_du_participant,,text,"ID PRISMA du participant",,"(PSX ou PAX)",,,,,,,,,,,
part_type,informations_du_participant,,radio,"TYPE DE PARTICIPANT","1, ASTHMATIQUE | 2, SAIN",,,,,,,,RH,,,,
part_inclusion_sain,informations_du_participant,,checkbox,"PARTICIPANT SAIN satisfait les critères suivants","1, Non-atopic | 2, Non-fumeur ou ex-fumeur (< 10PA) | 3, Spirométrie normale | 4, Sans histoire de maladie pulmonaire",,,,,,"[part_type] = '2'",y,,,,,
part_inclusion,informations_du_participant,,checkbox,"Participant satisfait les critères d'inclusion suivants","1, ≥ 12 ans | 2, Crise d'asthme aigue avec décision du patient et/ou médecin d'amorcer des corticostéroïdes systémiques | 3, Consentement du patient ou du représentant légal obtenu | 4, Diagnostic d'asthme par un médecin depuis plus de 6 mois",,,,,,"[part_type] = '1'",y,LV,,,,
part_inclusion2,informations_du_participant,,dropdown,"ASTHME CONFIRMÉ AU MOMENT DE LA VISITE?","0, NON | 1, OUI",,,,,,"[part_inclusion(4)] = '1'",,,,,,
part_inclusion3,informations_du_participant,,radio,,"1, Au moment du recrutement, basé sur le dossier médical | 2, Au cours de l'étude, basé sur les test faits aux visites 1 et 2",,,,,,"[part_inclusion2] = '1'",,LH,,,,
part_inclusion4,informations_du_participant,,text,"ASTHME NON-CONFIRMÉ; tests de suivi et évaluation de l'éligibilité par l'investigateur.",,,,,,,"[part_inclusion2] = '0'",,LH,,,,
part_inclusion5,informations_du_participant,,radio,"VÉRIFIER LES CRITÈRES GINA POUR CONFIRMER LE DIAGNOSTIC D'ASTHME CHEZ:","1, ENFANT 12-17 ANS | 2, ADULTES 18 ANS ET +",,,,,,"[part_type] = '1'",,LH,,,,
part_inclusion7,informations_du_participant,,checkbox,,"0, LIMITATION DU FLUX EXPIRATOIRE: VEMS/CVF < 0.9 | 1, RÉVERSIBILITÉ POST-BD; Augmentation du VEMS post-BD ou après une période traitement de maintien ≥ 12% | 2, VARIABILITÉ DU DEP; Augmentation post-BD ou après une période traitement de maintien ≥ 20% OU ˃13% de variation diurne basée sur 2 lectures/jour pour  2 semaines. | 3, TEST POSITIF; Méthacholine PC20 < 16 mg/ml ou PD20 < 2µmol (400µg) OU Test à l'effort avec diminution de  ≥12% du VEMS post-effort ou 15% de diminution du DEP OU HVE (saline hypertonique ou mannitol) avec diminution de ≥ 15% du VEMS post-test",,,,,,,,LV,,,,
part_inclusion9,informations_du_participant,,checkbox,,"0, LIMITATION DU FLUX EXPIRATOIRE: VEMS/CVF < 0.75-0.8 si < 40 ans et VEMS/CVF < 0.7 ≥40 ans | 1, RÉVERSIBILITÉ POST-BD; Augmentation du VEMS post-BD ou après une période traitement de maintien ≥ 12% et un minimum de ≥ 200ml. | 2, VARIABILITÉ DU DEP; Augmentation post-BD ou après une période traitement de maintien ≥ 20% OU ˃10% de variation diurne basée sur 2 lectures/jour pour  2 semaines. | 3, TEST POSITIF; Méthacholine PC20 < 16 mg/ml ou PD20 < 2µmol (400µg) OU Test à l'effort avec diminution de  ≥10% du VEMS post-effort OU HVE (saline hypertonique ou mannitol) avec diminution de ≥ 15% du VEMS post-test",,,,,,,,LV,,,,
